vat50_seed-8340,6.99000030756,21.3600009084
vat50_seed-8794,3.95000094175,18.3200009465
vat50_seed-2773,1.9200013876,16.8400010467
vat50_seed-967,14.3900005221,25.5900015831
vat50_seed-2368,20.0300019979,29.5700025558
vat100_seed-8340,3.42999958992,15.5100010633
vat100_seed-8794,2.37000143528,15.900001049
vat100_seed-2773,5.51000112295,18.070001483
vat100_seed-967,1.84000241756,14.6500005126
vat100_seed-2368,1.72000318766,14.750000298
vat1000_seed-8340,2.50000160933,10.4599997401
vat1000_seed-8794,2.70000195503,11.2199994326
vat1000_seed-2773,2.4800003171,10.8299998641
vat1000_seed-967,1.95000243187,10.3599994779
vat1000_seed-2368,2.32000142336,10.2499995232
